#{"t_start": 1747140063.5883043, "env_id": "None"}
r,l,t
164.778984,10,399.581365
353.890152,10,400.341183
314.83604,10,402.821921
180.833986,10,405.290015
223.495022,10,406.735574
318.814013,10,408.556055
261.261318,10,411.354487
176.933365,10,414.046232
160.048677,10,416.559811
74.804706,10,418.065541
272.217409,10,420.539644
149.379368,10,422.406045
378.649992,10,424.523158
50.683346,10,425.587419
252.8323,10,428.184658
276.265976,10,430.382978
380.253695,10,432.958594
197.937341,10,435.80323
317.860975,10,437.189698
185.822985,10,439.133775
293.942661,10,441.496982
207.834637,10,444.007822
192.740992,10,446.51846
405.44166,10,447.280648
198.504654,10,449.443337
-57.632008,10,450.124557
296.459389,10,452.495986
207.328018,10,454.991373
211.799637,10,457.506755
240.315691,10,458.760187
276.607742,10,461.028612
297.827946,10,463.615093
253.917267,10,466.015604
247.05965,10,468.299728
240.241009,10,469.509783
222.294006,10,471.782091
196.194017,10,474.3342
279.02533,10,476.54859
240.088989,10,478.869631
310.384338,10,479.855044
166.703003,10,482.354986
175.314659,10,484.639649
501.646645,10,485.322117
266.726326,10,488.363796
-187.728308,10,490.878288
-44.015663,10,493.356071
-346.905611,10,494.224001
110.341667,10,496.672863
-6.260002,10,499.313107
-16.935028,10,501.752478
-126.265659,10,504.361234
-235.49398,10,505.507934
-74.095327,10,507.88255
-262.253014,10,510.574403
-147.678345,10,513.038096
-95.970032,10,515.648404
54.832268,10,517.399056
-251.575657,10,519.120984
-72.352045,10,521.370155
-163.104202,10,524.246233
280.977373,10,526.595154
261.277691,10,529.363639
266.377007,10,531.385742
547.150085,10,532.910836
124.995041,10,535.206901
349.024984,10,537.983338
232.765703,10,540.569361
203.359365,10,543.153424
453.74498,10,544.986924
-244.678345,10,546.324188
338.432364,10,549.081632
244.819655,10,551.506406
230.328956,10,552.955788
19.667015,10,554.718444
334.299011,10,557.161382
119.167664,10,559.913586
575.384941,10,560.519214
134.188961,10,562.627072
34.10266,10,564.070083
29.432358,10,565.757941
15.401321,10,568.082149
1.718311,10,569.595086
38.458376,10,571.263356
134.020016,10,573.645998
-138.273991,10,575.660194
116.908697,10,576.883274
-46.744642,10,579.412184
-119.294975,10,582.141628
-58.301311,10,584.573447
-276.144653,10,586.983065
-17.31864,10,589.073482
-214.258614,10,590.694771
31.089294,10,592.887068
-118.796024,10,595.57534
202.644012,10,597.721897
-201.461693,10,600.665709
-210.808331,10,601.869986
167.047745,10,604.34941
-265.280323,10,606.606139
29.468693,10,607.804215
135.297333,10,609.474452
11.562674,10,611.548498
13.222347,10,612.921405
-244.046387,10,615.102886
131.972988,10,617.486231
333.740337,10,620.309613
360.839693,10,622.47311
-130.460995,10,623.500513
457.26029,10,625.925002
225.748985,10,628.13068
168.452969,10,630.658649
126.672974,10,633.325836
313.719963,10,635.774335
7.631683,10,636.736893
299.799,10,639.40876
208.708652,10,641.876122
191.862312,10,644.574816
539.945053,10,645.988799
-126.904036,10,647.738493
235.401957,10,650.27973
300.502972,10,652.647257
356.722336,10,655.264205
218.463017,10,657.98491
471.275024,10,658.824778
12.47002,10,662.978453
244.40667,10,666.216465
-34.963017,10,667.185357
245.356951,10,669.813596
-139.427956,10,672.136994
92.129707,10,674.739465
32.359642,10,677.383238
1.415314,10,680.084204
382.47172,10,681.396519
-190.59897,10,683.058322
85.791031,10,685.625355
281.852318,10,687.432985
415.472713,10,688.94405
-17.207329,10,691.591001
143.567303,10,694.026189
83.377281,10,696.277352
249.265915,10,697.63179
-71.747971,10,699.340081
123.29335,10,701.755863
-5.877995,10,704.350583
402.33839,10,705.964418
-236.176647,10,707.49065
-22.789345,10,709.867322
336.574558,10,710.501847
172.194633,10,713.105373
215.44965,10,715.578854
136.390701,10,718.299766
233.652008,10,721.238909
291.807301,10,723.465914
15.045349,10,726.116528
-50.853008,10,728.841192
104.18734,10,730.055319
-112.336014,10,732.636688
56.306694,10,735.026717
123.420382,10,737.767386
156.939051,10,740.464635
264.650658,10,741.814296
-156.037968,10,743.641218
106.500011,10,745.828077
467.705986,10,746.718098
75.735409,10,749.094398
210.215366,10,751.59929
50.910803,10,754.51942
-0.669067,10,756.066242
229.766991,10,758.455429
3.828976,10,760.376665
134.133007,10,762.634807
-62.583687,10,765.235671
178.910934,10,768.006164
-219.844673,10,769.895432
132.381248,10,771.754859
199.217033,10,774.144772
172.486689,10,776.863235
82.964317,10,779.377064
-82.085018,10,781.646914
289.52636,10,784.667122
415.150993,10,787.511319
383.175652,10,790.076369
393.493336,10,792.0312
558.941948,10,794.076585
211.657982,10,796.262708
519.242821,10,798.786757
555.948082,10,801.513561
398.216011,10,804.335928
205.712029,10,806.458739
507.728745,10,808.153255
376.710995,10,810.96893
225.030567,10,812.779975
365.225925,10,815.374563
419.985611,10,818.20869
415.772675,10,820.748383
578.206596,10,821.331052
587.260643,10,823.693518
405.620003,10,826.194974
545.000946,10,828.519066
213.022652,10,831.468015
196.083313,10,834.226886
166.166687,10,835.085019
731.580765,10,837.815741
139.758331,10,841.489574
520.628426,10,845.624916
218.893379,10,849.699641
109.516388,10,852.732373
450.6633,10,855.51053
441.175274,10,859.487671
377.080044,10,861.26011
134.315331,10,863.544593
561.296295,10,867.760235
726.53804,10,872.144673
727.002747,10,874.548257
999.291397,10,877.211285
969.034203,10,880.400429
582.303421,10,883.233115
559.225281,10,885.923623
834.124191,10,890.899765
592.33094,10,893.746594
191.574661,10,897.198047
144.806381,10,899.916414
398.090385,10,903.100042
325.757202,10,907.79324
715.973206,10,909.023009
400.25885,10,912.476177
980.156403,10,916.421765
566.978226,10,917.797311
1073.433678,10,920.631313
696.034805,10,924.838768
195.104454,10,928.31583
637.805298,10,931.95325
1215.64077,10,934.737347
724.668056,10,937.910683
598.782455,10,940.530051
962.411667,10,943.641552
779.788834,10,947.096069
111.362854,10,950.533707
445.715118,10,953.442306
724.636131,10,956.644082
831.14534,10,959.853099
755.588684,10,962.56022
769.290207,10,965.641585
479.74585,10,970.41989
152.860779,10,973.511147
616.886909,10,976.490988
1014.993134,10,979.584993
300.252655,10,982.162057
713.485584,10,986.51527
385.089935,10,990.466651
392.242157,10,992.229722
758.935394,10,996.13641
836.045944,10,999.609913
675.140884,10,1002.273238
723.129356,10,1005.352598
384.330902,10,1008.67296
352.906799,10,1011.983395
783.088326,10,1016.369051
593.083862,10,1019.658507
240.317383,10,1022.179153
166.218727,10,1024.938313
430.283867,10,1027.285056
442.153488,10,1030.999308
64.528313,10,1034.099997
160.589821,10,1036.752937
206.362732,10,1039.670833
1240.597382,10,1044.133286
1493.875397,10,1046.439985
1057.287575,10,1049.500874
696.05378,10,1052.966095
143.922684,10,1057.19376
1320.635857,10,1060.32892
584.627701,10,1064.422169
656.293633,10,1067.40926
656.153687,10,1071.488374
878.554001,10,1075.673513
1243.890778,10,1078.248318
630.20343,10,1081.819565
469.325401,10,1085.803908
900.680435,10,1088.615722
1261.360657,10,1091.13046
1354.909172,10,1093.982419
804.214211,10,1098.31974
377.713394,10,1102.49491
-258.40741,10,1104.746097
397.638016,10,1106.316047
615.165451,10,1110.156723
901.395981,10,1114.482191
842.581757,10,1117.390493
1044.340973,10,1120.052885
1003.989761,10,1124.07322
846.46434,10,1128.200792
1235.43103,10,1131.233408
1382.368301,10,1134.031727
1270.936852,10,1136.719252
1380.25042,10,1140.236691
1265.078583,10,1144.909702
1396.176567,10,1148.175224
1251.713806,10,1150.190757
1206.95813,10,1153.006139
1452.406158,10,1156.99342
1699.452164,10,1161.76914
1291.041,10,1164.312601
1448.247864,10,1168.978335
1653.513168,10,1173.994395
1518.182251,10,1176.893754
1436.746948,10,1180.92485
1727.693741,10,1185.701931
1398.488525,10,1188.640735
1402.627846,10,1193.734886
1260.451859,10,1197.047836
488.524719,10,1200.566673
64.370697,10,1205.252254
320.687241,10,1208.717067
564.104698,10,1211.494875
371.181252,10,1214.485936
400.092941,10,1219.439347
571.791611,10,1222.785518
340.969086,10,1225.669258
462.309593,10,1230.426343
365.596954,10,1234.017808
16.144409,10,1236.549178
483.375961,10,1240.229363
342.354111,10,1245.121927
557.340073,10,1248.515384
140.365677,10,1252.289854
117.800522,10,1256.530794
207.39296,10,1259.351865
330.022392,10,1261.92933
341.468079,10,1265.427466
206.66909,10,1270.498667
121.79129,10,1273.189577
411.653473,10,1275.390106
258.429199,10,1278.374631
282.248726,10,1282.792952
553.291389,10,1285.245481
52.420883,10,1288.385416
778.356262,10,1293.368132
844.167709,10,1297.113191
1292.6996,10,1300.268945
1283.805817,10,1302.624463
975.633438,10,1307.224373
1098.746048,10,1310.707462
1851.117722,10,1313.652626
1548.388397,10,1316.154562
1373.686623,10,1320.21723
1329.414589,10,1324.783584
1361.069412,10,1327.498662
1153.111809,10,1330.941896
1383.120483,10,1335.524158
970.744431,10,1339.008345
1136.391228,10,1342.170651
704.34494,10,1346.792179
709.330032,10,1350.472603
586.510735,10,1352.963131
965.249374,10,1356.106676
1013.528221,10,1361.1057
991.876083,10,1364.542838
734.709396,10,1367.406984
571.850693,10,1371.126775
1013.614288,10,1375.366055
669.317413,10,1378.218745
856.998581,10,1382.056267
731.586777,10,1384.858755
930.105446,10,1387.971306
1321.027649,10,1391.636691
1090.534218,10,1395.416508
673.65358,10,1398.295532
897.638733,10,1400.495754
941.024704,10,1404.600461
1300.487762,10,1407.1807
1139.012802,10,1410.321894
1025.062195,10,1414.685649
767.633621,10,1416.579202
610.629776,10,1420.303007
420.88327,10,1423.701602
860.939476,10,1426.499225
171.701065,10,1430.399264
491.693321,10,1433.530118
603.633789,10,1438.262839
398.917007,10,1441.335974
1025.322449,10,1444.030923
491.707054,10,1446.959139
887.88372,10,1450.195127
846.457336,10,1453.376258
945.714462,10,1458.423927
777.585312,10,1461.171291
803.565628,10,1464.498295
758.141739,10,1467.482812
611.787033,10,1470.222909
842.859406,10,1473.994696
605.019127,10,1477.923284
1097.084717,10,1480.647618
913.699577,10,1483.988033
1250.44754,10,1486.861517
1118.026062,10,1489.450861
1075.973274,10,1492.79661
1174.156464,10,1495.628318
884.547272,10,1498.066044
708.501663,10,1501.311332
916.27668,10,1504.275083
797.052322,10,1507.042361
660.060593,10,1510.628438
756.545265,10,1513.536747
861.398232,10,1516.76148
351.554619,10,1520.751966
327.996552,10,1523.31227
270.024445,10,1526.385918
565.065208,10,1529.43126
1095.65136,10,1531.962359
1081.827469,10,1535.280467
1207.427345,10,1538.040813
1008.555176,10,1540.536826
901.45752,10,1543.397351
1062.31221,10,1546.490964
1067.818527,10,1549.0423
828.810188,10,1552.796006
1210.661926,10,1556.447033
724.247627,10,1558.176917
1178.316391,10,1562.607532
237.373047,10,1563.430981
551.617249,10,1566.050161
685.686996,10,1569.438921
506.815948,10,1571.944274
408.590485,10,1576.195471
1096.405022,10,1577.954685
144.907822,10,1581.336057
319.387016,10,1584.934309
808.074112,10,1586.708942
462.68779,10,1590.854886
177.774445,10,1593.734596
600.19635,10,1596.786371
608.494873,10,1599.506799
386.629707,10,1602.079599
432.831177,10,1605.569212
441.185242,10,1608.319803
662.606018,10,1611.984748
584.675064,10,1614.137751
463.431305,10,1618.32858
669.932465,10,1620.940381
1023.409363,10,1623.070295
614.497345,10,1627.380691
746.730392,10,1629.671744
579.579674,10,1633.391151
729.744873,10,1635.916924
620.93631,10,1638.004433
761.940018,10,1641.697075
767.864456,10,1644.191536
1036.573402,10,1647.401479
685.757202,10,1649.960549
894.451469,10,1652.806241
626.019707,10,1655.873951
555.064163,10,1658.278256
630.599045,10,1661.593542
533.614128,10,1664.392683
490.460426,10,1667.591746
1211.318909,10,1669.866225
763.224915,10,1672.525077
524.826797,10,1675.532343
657.484184,10,1678.917109
1013.790359,10,1681.512403
359.156494,10,1684.185348
480.13134,10,1688.149644
1172.550446,10,1689.801024
796.004395,10,1692.022083
530.722992,10,1695.061193
707.334755,10,1697.566201
908.538933,10,1700.492973
400.033356,10,1703.276066
112.809479,10,1705.307039
776.769684,10,1708.834509
977.434334,10,1710.863416
361.029266,10,1712.959151
817.866493,10,1717.027763
361.177307,10,1719.8029
747.800812,10,1723.224551
792.968979,10,1725.676869
873.118164,10,1728.781564
1015.674736,10,1731.468559
563.289902,10,1734.608115
756.577515,10,1736.838344
806.631195,10,1739.12649
533.459244,10,1742.450898
640.146935,10,1743.888958
549.218597,10,1747.520002
581.700218,10,1750.18862
872.640289,10,1753.755718
757.592072,10,1756.228915
448.079582,10,1759.306528
553.935974,10,1762.081394
460.205544,10,1764.685829
425.984283,10,1767.638649
492.497849,10,1770.323767
622.26133,10,1773.384018
474.365379,10,1775.881367
578.553482,10,1779.126121
680.238266,10,1781.478983
573.990547,10,1783.996511
679.273407,10,1787.220514
908.109238,10,1789.048933
509.308525,10,1792.822756
598.854164,10,1795.783437
